,Date,Adj_Close_QQQ,Adj_Close_SPY
0,2017-01-03,115.70185900000001,208.213501
1,2017-01-04,116.33099399999999,209.45224
2,2017-01-05,116.989182,209.28581200000002
3,2017-01-06,118.01513700000001,210.034561
4,2017-01-09,118.40228300000001,209.34127800000002
5,2017-01-10,118.66361200000001,209.34127800000002
6,2017-01-11,118.98301699999999,209.93290699999997
7,2017-01-12,118.79911799999999,209.405945
8,2017-01-13,119.205627,209.88670299999998
9,2017-01-17,118.84751100000001,209.147141
10,2017-01-18,119.0895,209.609329
11,2017-01-19,119.03141000000001,208.832855
12,2017-01-20,119.292725,209.600113
13,2017-01-23,119.38954199999999,209.054703
14,2017-01-24,120.19288600000002,210.395096
15,2017-01-25,121.40274,212.216156
16,2017-01-26,121.52856399999999,211.99433900000002
17,2017-01-27,121.76089499999999,211.661514
18,2017-01-30,120.81233200000001,210.34886200000003
19,2017-01-31,120.57035800000001,210.33036800000002
20,2017-02-01,121.40274,210.413589
21,2017-02-02,121.29626499999999,210.552246
22,2017-02-03,121.644722,212.00355499999998
23,2017-02-06,121.78991699999999,211.624527
24,2017-02-07,122.235153,211.633789
25,2017-02-08,122.4384,211.91111800000002
26,2017-02-09,122.88363600000001,213.16832000000002
27,2017-02-10,123.290131,214.00950600000002
28,2017-02-13,123.987022,215.17430099999999
29,2017-02-14,124.40322900000001,216.033981
30,2017-02-15,125.138824,217.16172799999998
31,2017-02-16,125.100105,216.97686800000002
32,2017-02-17,125.642113,217.318909
33,2017-02-21,126.261574,218.61308300000002
34,2017-02-22,126.30996699999999,218.41893
35,2017-02-23,125.83569299999999,218.566818
36,2017-02-24,126.07766699999999,218.844162
37,2017-02-27,126.23253600000001,219.18620299999998
38,2017-02-28,125.845367,218.594604
39,2017-03-01,127.219803,221.65438799999998
40,2017-03-02,126.58096299999998,220.25852999999998
41,2017-03-03,126.813286,220.39718599999998
42,2017-03-06,126.53256999999999,219.74086
43,2017-03-07,126.319626,219.084534
44,2017-03-08,126.542274,218.67777999999998
45,2017-03-09,126.63903799999999,218.955078
46,2017-03-10,127.17138700000001,219.72236600000002
47,2017-03-13,127.384331,219.83329799999998
48,2017-03-14,127.07456200000001,218.992081
49,2017-03-15,127.85858200000001,220.887131
50,2017-03-16,127.7715,220.452637
51,2017-03-17,127.726875,220.065475
52,2017-03-20,127.84322399999999,219.824112
53,2017-03-21,125.903465,217.001648
54,2017-03-22,126.75695800000001,217.512314
55,2017-03-23,126.43690500000001,217.280182
56,2017-03-24,126.698761,217.12234500000002
57,2017-03-27,126.902428,216.89953599999998
58,2017-03-28,127.67836799999999,218.47789
59,2017-03-29,128.27002,218.682144
60,2017-03-30,128.483398,219.378448
61,2017-03-31,128.396149,218.86782799999997
62,2017-04-03,128.318512,218.487167
63,2017-04-04,128.522141,218.626434
64,2017-04-05,127.99845900000001,217.976532
65,2017-04-06,128.066299,218.589294
66,2017-04-07,127.99845900000001,218.36647000000002
67,2017-04-10,128.046951,218.49641400000002
68,2017-04-11,127.49408700000001,218.236481
69,2017-04-12,126.980042,217.280182
70,2017-04-13,126.475677,215.868973
71,2017-04-17,127.52318600000001,217.78155499999997
72,2017-04-18,127.32920800000001,217.13162200000002
73,2017-04-19,127.53290600000001,216.732422
74,2017-04-20,128.59979199999998,218.49641400000002
75,2017-04-21,128.570679,217.80011000000002
76,2017-04-24,130.122543,220.19547999999998
77,2017-04-25,131.06333899999998,221.476685
78,2017-04-26,130.879074,221.337448
79,2017-04-27,131.66468799999998,221.523102
80,2017-04-28,131.89746100000002,221.04031400000002
81,2017-05-01,133.07106000000002,221.59738199999998
82,2017-05-02,133.294128,221.680954
83,2017-05-03,132.867371,221.411713
84,2017-05-04,132.915863,221.671661
85,2017-05-05,133.400803,222.544403
86,2017-05-08,133.691803,222.507248
87,2017-05-09,134.157349,222.30300899999997
88,2017-05-10,134.234924,222.702225
89,2017-05-11,134.12823500000002,222.24728399999998
90,2017-05-12,134.428925,221.875946
91,2017-05-15,134.855652,223.101471
92,2017-05-16,135.41821299999998,222.89718599999998
93,2017-05-17,131.97503700000001,218.94210800000002
94,2017-05-18,133.129242,219.824112
95,2017-05-19,133.691803,221.253876
96,2017-05-22,134.81686399999998,222.377258
97,2017-05-23,134.952652,222.86935400000002
98,2017-05-24,135.573395,223.389252
99,2017-05-25,136.727615,224.45692400000001
100,2017-05-26,136.970062,224.410538
101,2017-05-30,137.08644099999998,224.21556099999998
102,2017-05-31,137.037979,224.15986600000002
103,2017-06-01,137.571396,225.942413
104,2017-06-02,139.142639,226.694489
105,2017-06-05,139.11355600000002,226.527374
106,2017-06-06,138.56073,225.803177
107,2017-06-07,139.10386699999998,226.22099300000002
108,2017-06-08,139.249359,226.332382
109,2017-06-09,135.76738,225.988892
110,2017-06-12,135.039932,225.942413
111,2017-06-13,136.135956,227.047287
112,2017-06-14,135.544327,226.75947599999998
113,2017-06-15,134.942963,226.32310499999997
